prompt,response
"
I have a VR project for which I am trying to render a canvas to be ""always on top"" of everything using a separate UI camera as noted here.
I made my UICamera object a child of the main camera - which is the centerEyeAnchor object in the OVRCameraRig.

And I set the culling mask for my UICamera to only show its layer and removed that layer from the main camera (CenterEyeAnchor).


But in fact the perspective is weird and it seems like the UICamera is offset a little bit but its transform is zero'd out in the inspector, so I don't why it's displaying so weird.  
If I set the culling mask to ""Everything"" for both cameras it's still offset a little.
","
In general you don't need the UI camera to be a child of CenterEyeAnchor. Move it out to to the top level and zero out the coordinates. The Oculus rig might be doing some magic with IPD or something else and it screws up the pixel-perfectness of UI.
"
"
I'm currently developing an app using Unity. I would use the virtual hands to interact with objects/button. I aim to implement a scene where there is an object/button and upon pressing it, another object changes color. I'm wondering how I could achieve this. Any insights or suggestions on how to go about implementing this interaction would be appreciated!
I did some with HTC Vive and Leap motion using Interaction Button (i am looking for something similar)
","
there are multiple prebuilt toolkits in unity if you want to try that related to buttons and some predefined actions. i guess if you use it and see how it works will help you.
or you can use
GameObject buttonPrecolor;
void MyAwesomeColorCreator()
{
    GameObject go = Instantiate(buttonPrecolor);
    var button = GetComponent<UnityEngine.UI.Button>();
    button.onClick.AddListener(() => FooOnClick());
}
void CuttonOnClick()
{
    Debug.Log(""color change"");
}

"
"
I'm making a vr game, some of my game objects have a world space canvas displaying the game object's info.
When I'm holding the game object upright like this, it looks fine, but if I rotate it downwards, the canvas will follow the parent.

As shown here the canvas which is a child of the game object follows the parent and ends up at the bottom. I want it to always be above the game object
Heres the hierarchy  of game objects

finally my canvas has this lookat cam script

","
I think you should rotate only ""Salt Shaker Obj"" (assuming it's GameObject with renderer) instead of entire ""Salt Shaker"". Or if it's necessary to rotate parent object then introduce another empty GameObject as parent of ""Salt Shaker"" and place canvas as ""Salt Shaker"" sibling.
"
"
I cannot seem to be able to disable the guardian in-app even though applications like first encounters do not have a guardian. Isn't it counterintuitive to not allow guardians to be turned off in passthrough mode?
","
I found the solution!
Add the following to AndroidManifest.XML
<uses-feature android:name=""com.oculus.feature.CONTEXTUAL_BOUNDARYLESS_APP"" android:required=""true"" />

"
"
I am running:

Aframe 1.3.0
iPhone 8 running IOS 15.5
MacBook Pro (Mid 2012) running macOS Catalina 10.15.7

I have an aframe webpage that loads in a simple, test environment.
I am able to view the webpage fine (including VR mode) on my MacBook, although there is some lag when trying to run it on Safari.
On my iPhone, I cannot view VR mode at all. The regular view works fine, and I am able to drag to move my camera and look around.

When I try to enter VR mode, I get prompted to place my phone into my Google Cardboard and VR does not work. It will get stuck on a white screen.


I understand that there have been issues with IOS and webXR support in the past and people seem to be encountering similar issues to mine. The fixes suggested in those links also did not work for me.
I also get the following errors in the iPhone web inspector:
TypeError: scope.dispatchEvent is not a function. (In 'scope.dispatchEvent({
    type: 'sessionstart'
})', 'scope.dispatchEvent' is undefined)
        
        
TypeError: undefined is not an object (evaluating 'camera.near')

I'd really like to make the VR work on both Android and Apple devices. Are there any work arounds to make Aframe VR work on IOS mobile devices?
","
I ended up using an older version of A-Frame.
The newest version of A-Frame doesn't run in VR mode on IOS; version 1.2.0 does. You can identify what OS the webpage is using and change the A-Frame version based on this. However, version 1.2.0 has different bugs and sometimes gives different behavior than 1.3.0. I had to make other changes on top of the A-Frame version to ensure the experience was consistent on both devices.
"
"
The initial scene works fine.  VR mode works.  But I'm not sure how to go back to normal mode.
var scene = new THREE.Scene()
var camera = new THREE.PerspectiveCamera( 75, window.innerWidth/window.innerHeight, 0.1, 1000 )
camera.position.set(70,0,70)
scene.add(camera)
var renderer = new THREE.WebGLRenderer( { alpha: true } )
renderer.setSize( window.innerWidth, window.innerHeight )
document.body.appendChild( renderer.domElement )
var controls = new THREE.OrbitControls( camera, renderer.domElement )
var effect = new THREE.StereoEffect(renderer)

var squares = []
var geometry = new THREE.BoxGeometry( .1, 3, 3 )
var radius = 50
var VR = false

for ( var lon = 1; lon < 20; lon ++ ) {
  for ( var lat = 1; lat < 20; lat ++ ) {

    var square = new THREE.Mesh( geometry, new THREE.MeshBasicMaterial( { transparent: true, opacity: 0.9, color: 0xffffff } ) )
    squares.push ( square )
    scene.add( square )

    var x = radius * Math.sin( lon ) * Math.cos( lat )
    var y = radius * Math.cos( lon )
    var z = radius * Math.sin( lon ) * Math.sin( lat )

    square.position.x = x
    square.position.y = y
    square.position.z = z

  }
}

function animate() {
  requestAnimationFrame( animate )

  if ( VR ) {
    effect.render(scene, camera)
  } else {
    renderer.render(scene, camera)
  }

}

function toggleVR() {
  if ( VR ) {
    VR = false
  } else {
    VR = true
  }
}

animate()

Here's my codepen:
https://codepen.io/megagumby/pen/RjWZPJ
Click on the button twice and you'll see what I'm talking about.  Thanks in advance.
","
The THREE.StereoEffect changes the size of the THREE.WebGLRenderer. You have to reset the size of the renderer by setSize, when you switch back.
function toggleVR() {
    if ( VR ) {
        VR = false
        renderer.setSize( window.innerWidth, window.innerHeight )
    } else {
        VR = true
    }
}

"
"
I'm getting the following errors after importing Oculus Integration from Unity Asset Store.
Using Unity 2019.4.40f1

","
2019.4.40f1 is not supported by Oculus integration

"
"
RealityKit has an option for .nonAR camera, but lacks fundamental options to build 3D nonAR apps, like camera control (.allowsCameraComtrol).
Is it viable to use RealityKit a replacement for SceneKit (which hasn't been updated for the past years and will likely be desecrated soon)?
","
.allowsCameraControl equivalent
Apple has been preparing a replacement for SceneKit, and it's definitely a Reality family – RealityKit, RealityFoundation, Reality Composer (iOS/macOS), Reality Composer Pro (rather for visionOS), Reality Converter, ARQuickLook, etc. Using RealityKit 2.0, you can create both AR and VR apps. As a tool for prototyping 3D scenes, you need to use Reality Composer. And even despite the lack of such an important feature as .allowsCameraControl, you are now able to make VR apps using RealityKit.
Workaround
Nonetheless, use my code as a starting point to create your own camera control for VR in RealityKit:
import UIKit
import RealityKit

class ViewController: UIViewController {
    @IBOutlet var arView: ARView!
    let buildings = try! Experience.loadScene()
    let camera = PerspectiveCamera()
    var current_X_Angle: Float = 0.0
    var current_Y_Angle: Float = 0.0

    override func viewDidLoad() {
        super.viewDidLoad()
        arView.environment.background = .color(.systemCyan)
        arView.scene.anchors.append(buildings)
        self.camera.position.z = 1
        buildings.children[0].addChild(self.camera)
        self.gestureRecognizer()
    }
    func gestureRecognizer() {
        for gestureRecognizer in [UIPanGestureRecognizer.self,
                                  UIPinchGestureRecognizer.self] {
            if gestureRecognizer == UIPinchGestureRecognizer.self {
                let r = UIPinchGestureRecognizer(target: self,
                               action: #selector(allowCameraControl_01))
                arView.addGestureRecognizer(r)
            }
            if gestureRecognizer == UIPanGestureRecognizer.self {
                let r = UIPanGestureRecognizer(target: self,
                               action: #selector(allowCameraControl_02))
                arView.addGestureRecognizer(r)
            }
        }
    }
    @objc func allowCameraControl_01(recognizer: UIPinchGestureRecognizer) {
        switch recognizer.state {
            case .changed, .ended:
                self.camera.position.z *= 1 / Float(recognizer.scale)
                recognizer.scale = 1.0
            default: break
        }
    }
    @objc func allowCameraControl_02(recognizer: UIPanGestureRecognizer) {
        switch recognizer.state {
            case .changed, .ended:
                let translate = recognizer.translation(in: recognizer.view)
                let angle_X = Float(translate.y / 300) * .pi / 180.0
                let angle_Y = Float(translate.x / 100) * .pi / 180.0
                self.current_X_Angle += angle_X
                self.current_Y_Angle += angle_Y                
                camera.setOrientation(Transform(pitch: current_X_Angle,
                                                  yaw: current_Y_Angle,
                                                 roll: .zero).rotation,
                                      relativeTo: buildings.anchor)
            default: break
        }
    }
}


Here you can find SwiftUI version.

visionOS Xcode Simulator
In Xcode 15's visionOS simulator, there are Pan, Orbit and Dolly UI buttons, available in lower right corner.

"
"
I created a 1:1 replica of my Room in 3D and unity. Now I want to align this virtual room with my real room via VR.
So the Table, that I see in VR matches exactly the real one.
But since I'm using the Oculus Quest, it is recalculating its Position on every start, making it impossible to align the to worlds precisely.
However, I found a script that should allow me to recenter my VR-Headset with the Mesh of my Room.
My only problem is, that I don't have a development background and the short explanations with the code snippets are not detailed enough for me..
Can somebody explain to me what to do and where to put the Code in my Scene?
Link: https://twitter.com/IRCSS/status/1231523329183559681/photo/1
","
Your question is quite broad. In general rather ask the maker of a script how it is to use ;)
But in short for using such a script: (btw in your link in the comments you see the rest o code).

Create a new script within the Assets 
ProjectView -> Right Click -> Create -> C# Script
Call it accoding to the class name AlignMesh
Double click to open it
Past in the code. 
public class AlignMesh : MonoBehaviour
{
    [Tooltip(""Drag in the OVR rig hand used to click the buttons here"")]
    public Transform HandTransform;

    [Tooltip(""Adjust the real world distance between your two target click positions here"")]
    public float ABDistance = 1.45f;

    public enum AligmentState
    {
        None, 
        PivotOneSet, 
        PivotTwoSet 
    }

    [Tooltip(""If your mesh pivot does not match the real-world point A add the offset here. The mesh will be set to point A + OriginOffset"")]
    public Vector3 OriginOffset;
    [Tooltip(""If your mesh forward axis does not match the real-world direction A->B add the offset here. The mesh will be set to A->B * RotationOffset"")]
    public Vector3 RotateOffset;

    public AligmentState alignmentState = AligmentState.None;

    private void Update()
    {
        switch (alignmentState)
        {
            case AligmentState.None:
                if (!OVR.Input.GetDown(OVRInput.Button.One)) return;
                transform.position = HandTransform.position + OriginOffset;
                alignmentState = AligmentState.PivotOneSet;
                break;

            case AligmentState.PivotOneSet:
                if (OVRInput.GetDown(OVRInput.Button.Two))
                {
                    alignmentState = AligmentState.None;
                    return;
                }

                if (!OVRInput.GetDown(OVRInput.Button.One)) return;

                var lookAtPosition = HandTransform.position + OriginOffset;
                var pivotOneToTwo = lookAtPosition - transform.position;
                var scaleFactor = pivotOneToTwo.magnitude / ABDistance;

                transform.LookAt(lookAtPosition, Vector3.up);
                transfom.rotation *= RotationOffset;
                transform.localScale *= scaleFactor;

                alignmentState = AligmentState.PivotTwoSet;
                break;

            case AligmentState.PivotTwoSet:
                if (OVRInput.GetDown(OVRInput.Button.Two))
                {
                    alignmentState = AligmentState.None;
                }
                break;
        }
    }
}

In your scene's Hierarchy select your root mesh object of the world/room you want to align
In the Inspector click Add Component and search for your created AlignMesh
Into the leftHandPosition drag and drop the according hand from the OVR rig. And in ABDistance adjust the real-world distance between your two click positions in meters.


A little explanation what this does:

The first click sets the room to that position 
So make sure that your real-world point A matches with the pivot point of the object in Unity!
The second click is used to set its rotation (so it's forward axis points to B) and scale. 
So make sure that your real-world point B is aligned to A thus that this direction matches with your meshes FORWARD axis

How does it work on a code basis:

None
Initially you are in an IDLE state None where your script only waits for the click on Button.One. 
Once you press the button the room is set to according position and you go to PivotOneSet
PivotOneSet
Now you are waiting for either a Button Two press => Cancel => back to None state
Or your press Button One again to set the second position B
Once this second position is set you adjust the rooms orientation and scale to match with the real world coordinates. Then you go to PivotTwoSet state.
PivotTwoSet
This does basically nothing but waiting for a Button Two click in order to reinitialize the setup process by going back to None state.

"
"
The setup idea:

A virtual machine with the executable virtual reality game inside runs on a server.
Someone can get access to the server from their own PC via VPN.
They can then start the virtual machine and the game and play with the hardware (headset etc.) connected to their PC.

I just need someone knowledgeable to explain to me whether that's possible or not and why. :)
Thanks in advance!
","
I can't imagine that there is software that will allow you to do such a setup with little configuration effort. You would have to take care of everything yourself and build a pipeline that reads the tracking data from your HMD, sends it to the PC, which then forwards it, and then (and this might be the hardest part) passes that data on your server to an official game (if you make the game yourself, the step would be much easier).
Apart from whether it's technically possible to make something like that work somehow, it's not something you want. It won't give you a good experience, as the latency would be way too high. The HMDs themselves are already struggling to keep the latency low enough so that users don't get motion sick.
"
"
I have built a VR project for the Oculus Rift S device with hand controllers in Unity 2020.3.43f, and now I am trying to build it.
I get the following error:
BuildFailedException: OpenXR backend for Oculus Plugin is disabled, which is required to support Unity OpenXR Plugin. Please enable OpenXR backend for Oculus Plugin through the 'Oculus -> Tools -> OpenXR' menu.
This menu item doesn't exists, this is the closest thing I could find is this:

Selecting Set OVRPlugin to OpenXR allows me to build the project, but the index finger no longer folds when pressing the index triggers for some reason.
I am using the built-in hand controllers prefabs that were imported with the Oculus unitypackage, and haven't changed anything.
Another thing I tried was to select the OpenXR in the Plug-in provider under the XR Plug-in management in the project settings.

But it disables the Oculus:

So, how do I enable that OpenXR backend?
P.S., I am using OVRPlugin version 1.78.0
P.S.2, when I debugged the code I noticed that it checks for Android platform support for some reason. Which I don't have nor need.
","
The solution was pretty simple and weird, I just had to comment/delete the line the throws the error in OVRGradleGeneration.cs
if (!useOpenXR)
{
    // throw new BuildFailedException(""OpenXR backend for Oculus Plugin is disabled, which is required to support Unity OpenXR Plugin. Please enable OpenXR backend for Oculus Plugin through the 'Oculus -> Tools -> OpenXR' menu."");
}

This solved all the issues.
"
"
This is my current script to hide a selected object with a press of a button (UI). The button has an onClick function assigned to Hide() and the SelectObject function is assigned to the object Select entered for XR Grab Interactable events:
using System.Collections;
using System.Collections.Generic;
using UnityEngine;

public class HideObject : MonoBehaviour
{
    private GameObject selectedObject;

    public void Hide()
    {
        Debug.Log(""Selected object in hide: "" + selectedObject);
        if (selectedObject.activeInHierarchy)
        {
            selectedObject.SetActive(false);
        }
        else
        {
            selectedObject.SetActive(true);
        }
    }


    public void SelectObject(GameObject obj) 
    {
        selectedObject = obj;
        Debug.Log(""Selected object "" + selectedObject);
    }

}

However, the log tells me that selected object in SelectObject can be detected (the select works) but not that in Hide. I'm selecting an object using the controller grip button and hitting the button with the trigger of the controller.
An image is attached below to show hierarchy and logs:

I've tried googling and looking at the forums for help but to no avail. Was wondering if it could be the trigger buttons (to select the UI button) resulting in overriding the original selected object.
","
I managed to solve it. I had 2 instances of the script running - one attached to the Hide button and the other to the GameObject. The one attached to the Hide button caused the null reference.
To satisfy my requirements, I went ahead to create another script to reference the selected GameObject and then declare another function in the new script to hide the object on button click.
"
"
I am quite confused by the ""rotation"" and ""orientation"" for a SCNNode. In Apple's doc, they are defined quite similarly:
orientation: The node’s orientation, expressed as a quaternion. Animatable.
rotation: The node’s orientation, expressed as a rotation angle about an axis. Animatable.
And apple doc says: 
The rotation, eulerAngles, and orientation properties all affect the rotational aspect of the node’s transform property. Any change to one of these properties is reflected in the others.
So they kind of control the same thing but are using different format? That is my current understanding. But how? They are both SCNVector4 type. I understand the rotation but I am not sure how to set the orientation and how it is different.
(EDIT)
I just tried to make a default node by SCNNode() and print out its rotation and orientation:
Rotation: 
SCNVector4(x: 0.0, y: 0.0, z: 0.0, w: 0.0)
Orientation:
SCNVector4(x: 0.0, y: 0.0, z: 0.0, w: 1.0)
I am still not sure why there is 1.0. E.comm has mentioned that it keeps the definition of quaternion but that w means a rotation degree in SCNVector4 for rotation. So I am not sure why it is there since I did not rotate node in my code. 
","
There's some obvious difference between Orientation and Rotation in SceneKit framework. Orientation is expressed as a quaternion (whose result of the equation must be 1).
According to Apple documentation:

Orientation – The node’s orientation, expressed as a quaternion. Animatable.

A quaternion is a mathematical construct useful for describing rotations in three-dimensional space. Although its implementation differs from that of a 4-component vector, you specify a quaternion value using the same fields as an SCNVector4 structure.
SceneKit uses unit quaternions – those whose components satisfy the equation:
x² + y² + z² + w² == 1

for the orientation property of nodes.
var orientation: SCNQuaternion { get set }  // instance property

// There are four elements (x, y, z, w) in Structure `float4`
var orientation: SCNQuaternion = SCNQuaternion(v: float4)

typealias SCNQuaternion = SCNVector4


Rotation – The node’s orientation, expressed as a rotation angle about an axis. Animatable. The four-component rotation vector specifies the direction of the rotation axis in the first three components and the angle of rotation (in radians) in the fourth. The default rotation is the zero vector, specifying no rotation. Rotation is applied relative to the node’s pivot property.

var rotation: SCNVector4 { get set }  // instance property

var rotation: SCNVector4 = SCNVector4(x: CGFloat,
                                      y: CGFloat,
                                      z: CGFloat,
                                      w: CGFloat)

As you can see orientation instance property is expressed in SCNQuaternion type but rotation instance property is expressed in SCNVector4  type.
"
"
I'm pretty new to VR development with Unity, what I need to do is to grab a clockwork object and rotate it around its pivot by moving the right hand controller, like if I had to do that in real life
Here's the scenario:

Here's the code I'm using in Update:
public class Box1: MonoBehaviour { 
    public Transform rightHandTransf;
    Vector3 handPosition; 

   
  void Update(){ 
     Vector3 rhPos = rightHandTransf.position; 
     Quaternion rhRot = rightHandTransf.rotation; 

     // clockworkM Rotation 
     rhPos.z = clockworkM.transform.position.z - Camera.main.transform.position.z; 
     handPosition = Camera.main.WorldToScreenPoint(rhPos); 
     clockworkM.transform.rotation = Quaternion.LookRotation(Vector3.back, handPosition - clockworkM.transform.position);
  }

}
What I get is that wherever I move the hand, the clockwork rotates just a little bit, and if I rotate the headset, the clockwork rotates based on my X axis rotation with my headset
Weird behavior, I have no idea what I'm doing wrong :(
","
you probably solved it by now but in case someone else stumbles on this.
My solution is just for rotating object around Y axis but can be easily edited for any other direction:
public Transform interactorTransform;
float lastFrameAngle;
public float multiplier = 1;

private void Start() {
    XRGrabInteractable interactble = GetComponent<XRGrabInteractable>();
    interactble.selectEntered.AddListener(Selected);
    interactble.selectExited.AddListener(Deselected);
}

private void FixedUpdate() {
    if (interactorTransform != null) {
        float angle = Vector3.SignedAngle(interactorTransform.position - transform.position, interactorTransform.forward, Vector3.up);
        float delta = angle - lastFrameAngle;
        transform.Rotate(transform.up, delta*multiplier);           
        lastFrameAngle = angle;
    }
}

public void Selected(SelectEnterEventArgs arguments) {        
    interactorTransform = arguments.interactorObject.transform;
    lastFrameAngle = Vector3.SignedAngle(interactorTransform.position - transform.position, interactorTransform.forward, Vector3.up);        
}

public void Deselected(SelectExitEventArgs arguments) {        
    interactorTransform = null;        
}

"
"
I'm trying to use AR in my flutter app. I'm using the package arcore_flutter_plugin.
After adding the plugin, I'm unable to run the app and I get this error (after having disabled the null safety feature) :
e: C:\Users\LENOVO THINKPAD\OneDrive\Bureau\Hackathon\ar_test\android\src\main\kotlin\com\difrancescogianmarco\arcore_flutter_plugin\ArCoreView.kt: (245, 38): Object is not abstract and does not implement abstract member public abstract fun onActivityCreated(p0: Activity, p1: Bundle?): Unit defined in android.app.Application.ActivityLifecycleCallbacks
e: C:\Users\LENOVO THINKPAD\OneDrive\Bureau\Hackathon\ar_test\android\src\main\kotlin\com\difrancescogianmarco\arcore_flutter_plugin\ArCoreView.kt: (246, 13): 'onActivityCreated' overrides nothing

FAILURE: Build failed with an exception.

* What went wrong:
Execution failed for task ':arcore_flutter_plugin:compileDebugKotlin'.
> Compilation error. See log for more details

* Try:
Run with --stacktrace option to get the stack trace. Run with --info or --debug option to get more log output. Run with --scan to get full insights.

* Get more help at https://help.gradle.org

BUILD FAILED in 1m 57s

Can someone help me make it work ?
","
This is an error in the arcore_flutter_plugin.
Navigate into the ArCoreView.kt file:

C:\Users\LENOVO
THINKPAD\OneDrive\Bureau\Hackathon\ar_test\android\src\main
\kotlin\com\difrancescogianmarco\arcore_flutter_plugin\ArCoreView.kt

Remove '?' from the following line:
override fun onActivityCreated(activity: Activity?, savedInstanceState: Bundle?)

New-line:
override fun onActivityCreated(activity: Activity, savedInstanceState: Bundle?)

"
"
I will try to describe this situation as accurately as possible, apologies if some details are missing.
A few years ago we began experimenting with virtual reality apps for STEM education developed in Unity.  We were specifically interested in viewing molecular structures of proteins and small molecules.  Since we weren't sure of the computational load of loading full structures, we decided to first try downloading the molecules from the RCSB database into Chimera, coloring and styling them the way we wanted, then saving them as 3D objects and importing them into Unity.  This worked except it striped out all of the colors (for some reason, this didn't happen to small molecules downloaded from PubChem).  We tried a variety of methods to see if we could preserve the colors.  We saved in every common 3d file format, we tried converting between formats, we tried passing through different 3d modeling software (Blender, Rhino and MeshLab).  I seem to recall MeshLab loaded the colors correctly but we still couldn't get them correctly into Unity.
I did a deep dive in the web to see if I could find an answer and the best I was able to do was to find a website that implied that by convention, most molecular visualization software colored the molecules using vertex coloring instead of meshes.  That sounds odd to me, especially when talking about molecular surfaces, but I've never been able to find the site again to explore the issue in more depth.
It's mostly a moot point now as we switched to UnityMol once we became more comfortable with the development process, but a reviewer on one of our manuscripts is interested in the technical challenges we faced in development.  I would like to mention the color issue but preferably in a way that makes sense.  Does anyone who has worked in the molecular visualization space have any idea what I'm talking about?
","
I think the source of the confusion stems from the fact that most of the standard  Unity shaders don't represent vertex colors in any way. You would need a custom shader for that or AFAIK the Unity standard particle shader also shows vertex colors.
Vertex colors are not used 'instead' of meshes but on top of the other vertex data inside the mesh, such as: Vector3 for position, Vector2 uv (or texcoord), Color for vertex color (float4 inside a shader) and so on. For any mesh or 3D model, some of them are optional, as with vertex colors.
Many 3D models do not ""use"" vertex colors in any way so they often aren't even saved inside the model file. Still, if you want to work without textures but have some nice colors, vertex colors are perfect for that (e.g. in scientific contexts).
Let me know if this helps or if you need more information!
"
"
I need a scene in Unity that matches the real world.
This guy made all i want.
https://twitter.com/vr_oasis/status/1218493216401608704
Is there any easy solution to solve this?
Thank You for Your Kindness ^o^
","
If you want an easy solution,
Get on a phone and go on the app store or google play store and find a 3D scanning app. Warning: older phones may not have the features that make 3d scanning possible.
Take a 3d scan of the room and export it to your computer.
The 3d model might not look that good so I'd recommend getting a 3d modelling program like Blender. It will probably not look like what that guy made though.
You can try to 3d model everything from scratch like how the video probably did it but it will be timeconsuming.
If you want to replicate that video not only the 3d models:
Tracking the positions from the real world to virtual reality seems complex and hard. If you want an easy way, I'd recommend to fake it by using Unity Timeline to move the camera or somehow standing in the same place that you're scene starts when using VR.
Good Luck!
"
